Zeit / s	Temperatur / °C
8,600000E-1	9,313319E-1
2,860000E+0	9,259572E-1
4,860000E+0	9,809615E-1
6,860000E+0	1,021551E+0
8,860000E+0	1,028351E+0
1,086000E+1	6,437351E-1
1,286000E+1	2,110988E-1
1,486000E+1	1,918372E-1
1,686000E+1	2,268804E-1
1,886000E+1	2,881303E-1
2,086000E+1	3,192694E-1
2,286000E+1	2,921862E-1
2,486000E+1	2,908520E-1
2,686000E+1	2,899172E-1
2,886000E+1	2,741207E-1
3,086000E+1	2,738429E-1
3,286000E+1	2,816115E-1
3,486000E+1	2,883457E-1
3,686000E+1	2,822292E-1
3,886000E+1	2,553274E-1
4,086000E+1	2,852141E-1
4,286000E+1	3,089042E-1
4,486000E+1	3,039013E-1
4,686000E+1	2,750538E-1
4,886000E+1	2,659379E-1
5,086000E+1	2,834293E-1
5,286000E+1	2,588735E-1
5,486000E+1	2,821409E-1
5,686000E+1	3,425761E-1
5,886000E+1	2,931211E-1
6,086000E+1	3,064643E-1
6,286000E+1	3,183645E-1
6,486000E+1	3,127800E-1
6,686000E+1	2,681553E-1
6,886000E+1	2,836314E-1
7,086000E+1	2,172669E-1
7,286000E+1	2,507339E-1
7,486000E+1	2,984682E-1
7,686000E+1	3,512092E-1
7,886000E+1	2,727932E-1
8,086000E+1	2,103337E-1
8,286000E+1	2,224762E-1
8,486000E+1	2,307543E-1
8,686000E+1	2,075119E-1
8,886000E+1	2,308661E-1
9,086000E+1	2,402204E-1
9,286000E+1	2,185250E-1
9,486000E+1	1,906098E-1
9,686000E+1	2,525185E-1
9,886000E+1	2,578672E-1
1,008600E+2	2,644231E-1
1,028600E+2	2,763674E-1
1,048600E+2	2,952518E-1
1,068600E+2	2,569992E-1
1,088600E+2	2,535393E-1
1,108600E+2	2,396967E-1
1,128600E+2	2,713949E-1
1,148600E+2	3,381222E-1
1,168600E+2	3,413495E-1
1,188600E+2	3,165565E-1
1,208600E+2	3,340647E-1
1,228600E+2	4,039327E-1
1,248600E+2	4,013419E-1
1,268600E+2	3,912235E-1
1,288600E+2	4,579120E-1
1,308600E+2	4,705753E-1
1,328600E+2	4,802906E-1
1,348600E+2	5,049937E-1
1,368600E+2	3,962993E-1
1,388600E+2	3,868454E-1
1,408600E+2	3,365247E-1
1,428600E+2	2,815596E-1
1,448600E+2	2,354237E-1
1,468600E+2	2,349964E-1
1,488600E+2	2,018949E-1
1,508600E+2	2,201665E-1
1,528600E+2	1,811624E-1
1,548600E+2	2,038654E-1
1,568600E+2	1,670694E-1
1,588600E+2	2,110442E-1
1,608600E+2	2,668896E-1
1,628600E+2	2,669204E-1
1,648600E+2	2,372877E-1
1,668600E+2	2,118831E-1
1,688600E+2	4,591221E-1
1,708600E+2	1,725092E+0
1,728600E+2	3,700801E-1
1,748600E+2	2,376901E-1
1,768600E+2	2,803168E-1
1,788600E+2	2,612668E-1
1,808600E+2	2,764322E-1
1,828600E+2	2,742122E-1
1,848600E+2	2,771111E-1
1,868600E+2	2,779671E-1
1,888600E+2	2,729531E-1
1,908600E+2	3,013830E-1
1,928600E+2	2,956924E-1
1,948600E+2	2,907115E-1
1,968600E+2	2,701006E-1
1,988600E+2	2,645974E-1
2,008600E+2	3,194621E-1
2,028600E+2	2,993376E-1
2,048600E+2	2,923625E-1
2,068600E+2	2,740627E-1
2,088600E+2	3,325717E-1
2,108600E+2	2,920895E-1
2,128600E+2	2,865631E-1
2,148600E+2	2,693195E-1
2,168600E+2	2,520821E-1
2,188600E+2	2,642515E-1
2,208600E+2	2,788770E-1
2,228600E+2	2,974659E-1
2,248600E+2	3,206600E-1
2,268600E+2	3,591111E-1
2,288600E+2	3,486652E-1
2,308600E+2	3,494620E-1
2,328600E+2	3,867765E-1
2,348600E+2	3,424229E-1
2,368600E+2	3,668547E-1
2,388600E+2	3,882026E-1
2,408600E+2	3,748657E-1
2,428600E+2	3,345529E-1
2,448600E+2	3,350950E-1
2,468600E+2	3,253327E-1
2,488600E+2	3,261671E-1
2,508600E+2	3,374270E-1
2,528600E+2	3,095300E-1
2,548600E+2	2,881508E-1
2,568600E+2	3,400708E-1
2,588600E+2	3,400337E-1
2,608600E+2	3,418258E-1
2,628600E+2	3,313797E-1
2,648600E+2	3,538095E-1
2,668600E+2	3,386269E-1
2,688600E+2	3,383235E-1
2,708600E+2	3,941528E-1
2,728600E+2	3,922831E-1
2,748600E+2	2,909202E-1
2,768600E+2	3,473981E-1
2,788600E+2	4,206420E-1
2,808600E+2	3,834654E-1
2,828600E+2	3,607268E-1
2,848600E+2	3,237691E-1
2,868600E+2	3,144303E-1
