Zeit / s	Temperatur / °C
9,900000E-1	9,969674E+1
2,990000E+0	9,963145E+1
4,990000E+0	9,958795E+1
6,990000E+0	9,957743E+1
8,990000E+0	9,961098E+1
1,099000E+1	9,958102E+1
1,299000E+1	9,955025E+1
1,499000E+1	9,954429E+1
1,699000E+1	9,957299E+1
1,899000E+1	9,955287E+1
2,099000E+1	9,954110E+1
2,299000E+1	9,953283E+1
2,499000E+1	9,947218E+1
2,699000E+1	9,912092E+1
2,899000E+1	9,925442E+1
3,099000E+1	9,939386E+1
3,299000E+1	9,926399E+1
3,499000E+1	9,941381E+1
3,699000E+1	9,950273E+1
3,899000E+1	9,953065E+1
4,099000E+1	9,952179E+1
4,299000E+1	9,943352E+1
4,499000E+1	9,943819E+1
4,699000E+1	9,945596E+1
4,899000E+1	9,952044E+1
5,099000E+1	9,945681E+1
5,299000E+1	9,943261E+1
5,499000E+1	9,952213E+1
5,699000E+1	9,952865E+1
5,899000E+1	9,950181E+1
6,099000E+1	9,770958E+1
6,299000E+1	9,882419E+1
6,499000E+1	9,949696E+1
6,699000E+1	9,941639E+1
6,899000E+1	9,947275E+1
7,099000E+1	9,939677E+1
7,299000E+1	9,942155E+1
7,499000E+1	9,739295E+1
7,699000E+1	9,886199E+1
7,899000E+1	9,952034E+1
8,099000E+1	9,942169E+1
8,299000E+1	9,944796E+1
8,499000E+1	9,946302E+1
8,699000E+1	9,948807E+1
8,899000E+1	9,943728E+1
9,099000E+1	9,950253E+1
9,299000E+1	9,944053E+1
9,499000E+1	9,944045E+1
9,699000E+1	9,808351E+1
9,899000E+1	9,867594E+1
1,009900E+2	9,949101E+1
1,029900E+2	9,945778E+1
1,049900E+2	9,944739E+1
1,069900E+2	9,932714E+1
1,089900E+2	9,935034E+1
1,109900E+2	9,941084E+1
1,129900E+2	9,940419E+1
1,149900E+2	9,934152E+1
1,169900E+2	9,942156E+1
1,189900E+2	9,948966E+1
1,209900E+2	9,945867E+1
1,229900E+2	9,949661E+1
1,249900E+2	9,948494E+1
1,269900E+2	9,951327E+1
1,289900E+2	9,952354E+1
1,309900E+2	9,956144E+1
1,329900E+2	9,948257E+1
1,349900E+2	9,952795E+1
1,369900E+2	9,953610E+1
1,389900E+2	9,944561E+1
1,409900E+2	9,579748E+1
1,429900E+2	9,925599E+1
1,449900E+2	9,938399E+1
1,469900E+2	9,928495E+1
1,489900E+2	9,925205E+1
1,509900E+2	9,934572E+1
1,529900E+2	9,932071E+1
1,549900E+2	9,921266E+1
1,569900E+2	9,923399E+1
1,589900E+2	9,627691E+1
1,609900E+2	9,848576E+1
1,629900E+2	9,945710E+1
1,649900E+2	9,948576E+1
1,669900E+2	9,957091E+1
1,689900E+2	9,964094E+1
1,709900E+2	9,962017E+1
1,729900E+2	9,959119E+1
1,749900E+2	9,960005E+1
1,769900E+2	9,960034E+1
1,789900E+2	9,953833E+1
1,809900E+2	9,944859E+1
1,829900E+2	9,685988E+1
1,849900E+2	9,923312E+1
1,869900E+2	9,919776E+1
1,889900E+2	9,924376E+1
1,909900E+2	9,918012E+1
1,929900E+2	9,923014E+1
1,949900E+2	9,918658E+1
1,969900E+2	9,921524E+1
1,989900E+2	9,930910E+1
2,009900E+2	9,940971E+1
2,029900E+2	9,936149E+1
2,049900E+2	9,933028E+1
2,069900E+2	9,943185E+1
2,089900E+2	9,950863E+1
2,109900E+2	9,934801E+1
2,129900E+2	9,935510E+1
2,149900E+2	9,933127E+1
2,169900E+2	9,939039E+1
2,189900E+2	9,933484E+1
2,209900E+2	9,939465E+1
2,229900E+2	9,931190E+1
2,249900E+2	9,924028E+1
2,269900E+2	9,930400E+1
2,289900E+2	9,933474E+1
