Zeit / s	Temperatur / °C
8,870000E-1	7,848918E+1
1,887000E+0	7,847245E+1
2,887000E+0	7,849181E+1
3,887000E+0	7,847397E+1
4,887000E+0	7,842591E+1
5,887000E+0	7,840678E+1
6,887000E+0	7,835832E+1
7,887000E+0	7,842720E+1
8,887000E+0	7,802703E+1
9,887000E+0	7,749598E+1
1,088700E+1	7,759379E+1
1,188700E+1	7,778563E+1
1,288700E+1	7,782455E+1
1,388700E+1	7,784909E+1
1,488800E+1	7,793992E+1
1,588700E+1	7,799981E+1
1,688700E+1	7,799710E+1
1,788700E+1	7,794451E+1
1,888700E+1	7,788461E+1
1,988700E+1	7,784730E+1
2,088700E+1	7,784786E+1
2,188700E+1	7,784604E+1
2,288700E+1	7,781519E+1
2,388700E+1	7,776015E+1
2,488700E+1	7,774406E+1
2,588700E+1	7,753895E+1
2,688700E+1	7,746277E+1
2,788700E+1	7,750539E+1
2,888700E+1	7,743308E+1
2,988700E+1	7,737169E+1
3,088700E+1	7,734437E+1
3,188700E+1	7,729054E+1
3,288700E+1	7,726826E+1
3,388700E+1	7,725265E+1
3,488700E+1	7,721553E+1
3,588700E+1	7,716934E+1
3,688700E+1	7,707586E+1
3,788700E+1	7,702530E+1
3,888700E+1	7,700148E+1
3,988700E+1	7,697277E+1
4,088700E+1	7,696237E+1
4,188700E+1	7,699395E+1
4,288700E+1	7,699286E+1
4,388700E+1	7,698902E+1
4,488700E+1	7,696083E+1
4,588700E+1	7,693232E+1
4,688700E+1	7,693450E+1
4,788700E+1	7,687755E+1
4,888700E+1	7,679168E+1
4,988700E+1	7,676040E+1
5,088700E+1	7,676692E+1
5,188700E+1	7,668544E+1
5,288700E+1	7,666624E+1
5,388700E+1	7,667396E+1
5,488700E+1	7,669139E+1
5,588700E+1	7,668807E+1
5,688700E+1	7,664790E+1
5,788700E+1	7,655355E+1
5,888700E+1	7,654172E+1
5,988700E+1	7,655752E+1
6,088700E+1	7,659326E+1
6,188700E+1	7,657309E+1
6,288700E+1	7,649704E+1
6,388700E+1	7,648125E+1
6,488700E+1	7,647105E+1
6,588700E+1	7,643830E+1
6,688700E+1	7,632294E+1
6,788700E+1	7,630020E+1
6,888700E+1	7,634514E+1
6,988700E+1	7,628034E+1
7,088700E+1	7,622984E+1
