Zeit / s	Temperatur / °C
4,820000E-1	7,053459E+1
1,482000E+0	7,054370E+1
2,482000E+0	7,045843E+1
3,482000E+0	7,031495E+1
4,482000E+0	7,022544E+1
5,482000E+0	7,015171E+1
6,482000E+0	7,010669E+1
7,482000E+0	7,009988E+1
8,482000E+0	7,003452E+1
9,482000E+0	7,000514E+1
1,048200E+1	6,993762E+1
1,148200E+1	6,988685E+1
1,248200E+1	6,979826E+1
1,348200E+1	6,975183E+1
1,448200E+1	6,970731E+1
1,548200E+1	6,968916E+1
1,648200E+1	6,968483E+1
1,748200E+1	6,964603E+1
1,848200E+1	6,961850E+1
1,948200E+1	6,959724E+1
2,048200E+1	6,963978E+1
2,148200E+1	6,961451E+1
2,248200E+1	6,960192E+1
2,348200E+1	6,959530E+1
2,448200E+1	6,957605E+1
2,548200E+1	6,958548E+1
2,648200E+1	6,955022E+1
2,748200E+1	6,961019E+1
2,848200E+1	6,963484E+1
2,948200E+1	6,964027E+1
3,048200E+1	6,957674E+1
3,148200E+1	6,958786E+1
3,248200E+1	6,952401E+1
3,348200E+1	6,948291E+1
3,448200E+1	6,947555E+1
3,548200E+1	6,946324E+1
3,648200E+1	6,949670E+1
3,748200E+1	6,948458E+1
3,848200E+1	6,950358E+1
3,948200E+1	6,948470E+1
4,048200E+1	6,940083E+1
4,148200E+1	6,940524E+1
4,248200E+1	6,930126E+1
4,348200E+1	6,925081E+1
4,448200E+1	6,917475E+1
4,548200E+1	6,914078E+1
4,648200E+1	6,913548E+1
4,748200E+1	6,905308E+1
4,848200E+1	6,899947E+1
4,948200E+1	6,894009E+1
5,048200E+1	6,886959E+1
5,148200E+1	6,884323E+1
5,248200E+1	6,876009E+1
5,348200E+1	6,871681E+1
5,448200E+1	6,866909E+1
5,548200E+1	6,857581E+1
5,648200E+1	6,855179E+1
5,748200E+1	6,852977E+1
5,848200E+1	6,853660E+1
5,948200E+1	6,855207E+1
6,048200E+1	6,851498E+1
6,148200E+1	6,845325E+1
6,248200E+1	6,847421E+1
6,348200E+1	6,850258E+1
6,448200E+1	6,847456E+1
6,548200E+1	6,844332E+1
6,648200E+1	6,845273E+1
6,748200E+1	6,844589E+1
