Zeit / s	Temperatur / °C
8,150000E-1	2,124094E+1
1,815000E+0	2,125249E+1
2,815000E+0	2,123055E+1
3,815000E+0	2,127353E+1
4,815000E+0	2,126004E+1
5,815000E+0	2,122600E+1
6,815000E+0	2,133281E+1
7,815000E+0	2,142557E+1
8,815000E+0	2,143255E+1
9,815000E+0	2,143516E+1
1,081500E+1	2,142193E+1
1,181500E+1	2,145137E+1
1,281500E+1	2,146139E+1
1,381500E+1	2,142482E+1
1,481500E+1	2,146473E+1
1,581500E+1	2,143244E+1
1,681500E+1	2,144299E+1
1,781500E+1	2,144375E+1
1,881500E+1	2,148131E+1
1,981500E+1	2,147930E+1
2,081500E+1	2,147812E+1
2,181500E+1	2,151569E+1
2,281500E+1	2,147564E+1
2,381500E+1	2,148096E+1
2,481500E+1	2,149689E+1
2,581500E+1	2,151088E+1
2,681500E+1	2,152879E+1
2,781500E+1	2,154435E+1
2,881500E+1	2,156276E+1
2,981500E+1	2,155424E+1
3,081500E+1	2,157361E+1
3,181500E+1	2,157374E+1
3,281500E+1	2,152588E+1
3,381500E+1	2,151554E+1
3,481500E+1	2,154270E+1
3,581500E+1	2,156996E+1
3,681500E+1	2,156048E+1
3,781500E+1	2,156668E+1
3,881500E+1	2,155950E+1
3,981500E+1	2,159475E+1
4,081500E+1	2,158344E+1
4,181500E+1	2,156751E+1
4,281500E+1	2,158204E+1
4,381500E+1	2,159435E+1
4,481500E+1	2,157015E+1
4,581500E+1	2,156461E+1
4,681500E+1	2,157115E+1
4,781500E+1	2,158763E+1
4,881500E+1	2,161573E+1
4,981500E+1	2,159404E+1
5,081500E+1	2,157335E+1
5,181500E+1	2,154744E+1
5,281500E+1	2,154607E+1
5,381500E+1	2,156647E+1
5,481500E+1	2,158084E+1
5,581500E+1	2,157776E+1
5,681500E+1	2,160933E+1
5,781500E+1	2,161885E+1
5,881500E+1	2,161876E+1
5,981500E+1	2,157246E+1
6,081500E+1	2,159238E+1
6,181500E+1	2,158166E+1
6,281500E+1	2,158922E+1
6,381500E+1	2,157487E+1
6,481500E+1	2,157829E+1
6,581500E+1	2,157892E+1
6,681500E+1	2,159854E+1
6,781500E+1	2,161272E+1
6,881500E+1	2,157729E+1
6,981500E+1	2,157961E+1
7,081500E+1	2,161318E+1
7,181500E+1	2,158723E+1
7,281500E+1	2,159699E+1
7,381500E+1	2,161746E+1
7,481500E+1	2,159142E+1
7,581500E+1	2,781935E+1
7,681500E+1	3,105234E+1
7,781500E+1	6,616731E+1
7,881500E+1	9,110951E+1
7,981500E+1	9,181875E+1
8,081500E+1	9,179453E+1
8,181500E+1	9,178912E+1
8,281500E+1	9,181152E+1
8,381500E+1	9,165817E+1
8,481500E+1	9,164461E+1
8,581500E+1	9,165728E+1
8,681500E+1	9,168116E+1
8,781500E+1	9,174153E+1
8,881500E+1	9,172086E+1
8,981500E+1	9,173059E+1
9,081500E+1	9,177540E+1
9,181500E+1	9,174288E+1
9,281500E+1	9,177958E+1
9,381500E+1	9,184853E+1
9,481500E+1	9,182171E+1
9,581500E+1	9,183470E+1
9,681500E+1	9,185655E+1
9,781500E+1	9,185370E+1
9,881500E+1	9,187955E+1
9,981500E+1	9,190748E+1
1,008150E+2	9,185676E+1
1,018150E+2	9,219338E+1
1,028150E+2	9,224575E+1
1,038150E+2	9,233852E+1
1,048150E+2	9,237502E+1
1,058150E+2	9,237737E+1
1,068150E+2	9,244520E+1
1,078150E+2	9,243584E+1
1,088150E+2	9,247179E+1
1,098150E+2	9,245575E+1
1,108150E+2	9,241797E+1
1,118150E+2	9,251690E+1
1,128150E+2	9,253483E+1
1,138150E+2	9,263362E+1
1,148150E+2	9,265822E+1
1,158150E+2	9,264109E+1
1,168150E+2	9,267076E+1
1,178150E+2	9,267556E+1
1,188150E+2	9,265860E+1
1,198150E+2	9,267708E+1
1,208150E+2	9,267053E+1
1,218150E+2	9,270270E+1
1,228150E+2	9,270673E+1
1,238190E+2	9,276204E+1
1,248150E+2	9,272990E+1
1,258150E+2	9,278134E+1
1,268150E+2	9,279713E+1
1,278150E+2	9,276344E+1
1,288150E+2	9,279244E+1
1,298150E+2	9,280734E+1
1,308150E+2	9,280545E+1
1,318150E+2	9,279795E+1
1,328150E+2	9,276604E+1
1,338150E+2	9,279386E+1
1,348150E+2	9,282475E+1
1,358150E+2	9,281369E+1
1,368150E+2	9,279901E+1
1,378150E+2	9,278052E+1
1,388150E+2	9,281632E+1
1,398150E+2	9,281183E+1
1,408150E+2	9,285617E+1
1,418150E+2	9,282443E+1
1,428150E+2	9,280778E+1
1,438150E+2	9,281268E+1
1,448150E+2	9,287341E+1
1,458150E+2	9,285155E+1
1,468150E+2	9,296465E+1
1,478150E+2	9,301061E+1
1,488150E+2	9,299427E+1
1,498150E+2	9,301114E+1
1,508150E+2	9,299965E+1
1,518150E+2	9,306770E+1
1,528150E+2	9,309526E+1
1,538150E+2	9,313780E+1
1,548150E+2	9,317057E+1
1,558150E+2	9,322373E+1
1,568150E+2	9,327591E+1
1,578150E+2	9,333676E+1
1,588150E+2	9,336700E+1
1,598150E+2	9,333322E+1
1,608150E+2	9,325693E+1
1,618150E+2	9,325327E+1
1,628150E+2	9,323380E+1
1,638150E+2	9,323634E+1
1,648150E+2	9,323214E+1
1,658150E+2	9,328720E+1
1,668150E+2	9,327959E+1
1,678150E+2	9,326432E+1
1,688150E+2	9,327464E+1
1,698150E+2	9,331206E+1
1,708150E+2	9,333611E+1
1,718150E+2	9,332129E+1
1,728150E+2	9,332981E+1
1,738150E+2	9,333653E+1
1,748150E+2	9,334677E+1
1,758150E+2	9,338672E+1
1,768150E+2	8,490242E+1
1,778150E+2	6,867930E+1
1,788150E+2	6,180725E+1
1,798150E+2	5,797541E+1
1,808150E+2	4,050872E+1
1,818150E+2	2,479860E+1
1,828150E+2	2,381252E+1
1,838150E+2	2,276709E+1
1,848150E+2	2,199095E+1
1,858150E+2	2,197982E+1
1,868150E+2	2,198250E+1
1,878150E+2	2,197500E+1
1,888150E+2	2,195564E+1
1,898150E+2	2,196706E+1
1,908150E+2	2,196234E+1
1,918150E+2	2,198868E+1
1,928150E+2	2,206154E+1
1,938150E+2	2,208691E+1
1,948150E+2	2,208706E+1
1,958150E+2	2,208973E+1
1,968150E+2	2,210524E+1
1,978150E+2	2,212981E+1
1,988150E+2	2,215128E+1
1,998150E+2	2,215123E+1
2,008150E+2	2,216168E+1
2,018150E+2	2,216756E+1
2,028150E+2	2,215630E+1
2,038150E+2	2,215027E+1
2,048150E+2	2,215502E+1
2,058150E+2	2,212947E+1
2,068150E+2	2,214986E+1
2,078150E+2	2,212093E+1
2,088150E+2	2,212808E+1
2,098150E+2	2,212310E+1
2,108150E+2	2,215288E+1
2,118150E+2	2,216056E+1
2,128150E+2	2,213337E+1
2,138150E+2	2,212111E+1
2,148150E+2	2,214475E+1
2,158150E+2	2,214093E+1
2,168150E+2	2,212079E+1
2,178150E+2	2,216394E+1
2,188150E+2	2,220413E+1
2,198150E+2	2,218453E+1
2,208150E+2	2,220150E+1
2,218150E+2	2,220371E+1
2,228150E+2	2,215566E+1
2,238150E+2	2,218795E+1
2,248150E+2	2,220007E+1
2,258150E+2	2,220832E+1
2,268150E+2	2,222810E+1
2,278150E+2	2,220827E+1
2,288150E+2	2,220458E+1
2,298150E+2	2,221825E+1
2,308150E+2	2,225114E+1
2,318150E+2	2,223424E+1
2,328150E+2	2,220504E+1
2,338150E+2	2,222735E+1
2,348150E+2	2,221114E+1
2,358150E+2	2,220373E+1
2,368150E+2	2,219888E+1
2,378150E+2	2,220714E+1
2,388150E+2	2,218743E+1
2,398150E+2	2,220382E+1
2,408150E+2	2,220494E+1
2,418150E+2	2,218859E+1
2,428150E+2	2,216863E+1
2,438150E+2	2,216679E+1
2,448150E+2	2,218060E+1
2,458150E+2	2,218369E+1
2,468150E+2	2,223221E+1
2,478150E+2	2,221387E+1
2,488150E+2	2,222112E+1
2,498150E+2	2,219538E+1
2,508150E+2	2,221238E+1
2,518150E+2	2,225209E+1
2,528150E+2	2,228014E+1
2,538150E+2	2,224290E+1
2,548150E+2	2,467906E+1
2,558150E+2	2,914692E+1
2,568150E+2	7,559442E+1
2,578150E+2	9,276163E+1
2,588150E+2	9,312534E+1
2,598150E+2	9,316009E+1
2,608150E+2	9,314138E+1
2,618150E+2	9,315510E+1
2,628150E+2	9,312877E+1
2,638150E+2	9,310501E+1
2,648150E+2	9,317154E+1
2,658150E+2	9,309186E+1
2,668150E+2	9,307448E+1
2,678150E+2	9,302411E+1
2,688150E+2	9,304204E+1
2,698150E+2	9,304035E+1
2,708150E+2	9,309154E+1
2,718150E+2	9,306039E+1
2,728150E+2	9,302947E+1
2,738150E+2	9,301027E+1
2,748150E+2	9,300301E+1
2,758150E+2	9,300858E+1
2,768150E+2	9,298888E+1
2,778150E+2	9,298992E+1
2,788150E+2	9,299563E+1
2,798150E+2	9,301826E+1
2,808150E+2	9,299086E+1
2,818150E+2	9,296694E+1
2,828150E+2	9,300556E+1
2,838150E+2	9,299952E+1
2,848150E+2	9,297759E+1
2,858150E+2	9,296129E+1
2,868150E+2	9,297265E+1
2,878150E+2	9,299782E+1
2,888150E+2	9,299104E+1
2,898150E+2	9,299232E+1
2,908150E+2	9,287354E+1
2,918150E+2	9,280927E+1
2,928150E+2	9,281598E+1
2,938150E+2	9,280441E+1
2,948150E+2	9,279715E+1
2,958150E+2	9,274075E+1
2,968150E+2	9,272607E+1
2,978150E+2	9,271545E+1
2,988150E+2	9,272442E+1
2,998150E+2	9,270290E+1
3,008150E+2	9,267945E+1
3,018150E+2	9,270001E+1
3,028150E+2	9,269339E+1
3,038150E+2	9,267929E+1
3,048150E+2	9,266155E+1
3,058150E+2	9,264344E+1
3,068150E+2	9,263293E+1
3,078150E+2	9,264529E+1
3,088150E+2	9,259841E+1
3,098150E+2	9,258114E+1
3,108150E+2	9,253317E+1
3,118150E+2	9,251821E+1
3,128150E+2	9,250041E+1
3,138150E+2	9,251473E+1
3,148150E+2	9,252134E+1
3,158150E+2	9,245913E+1
3,168150E+2	9,248855E+1
3,178150E+2	9,248269E+1
3,188150E+2	9,248072E+1
3,198150E+2	9,246675E+1
3,208150E+2	9,245936E+1
3,218150E+2	9,244337E+1
3,228150E+2	9,247189E+1
3,238150E+2	9,245356E+1
3,248150E+2	8,972000E+1
3,258150E+2	6,792885E+1
3,268150E+2	6,047661E+1
3,278150E+2	5,774650E+1
3,288150E+2	5,326533E+1
