Zeit / s	Temperatur / °C
6,770000E-1	3,107749E+1
1,677000E+0	3,106546E+1
2,677000E+0	3,108716E+1
3,677000E+0	3,111495E+1
4,677000E+0	3,110348E+1
5,677000E+0	3,111571E+1
6,677000E+0	3,108319E+1
7,677000E+0	3,107275E+1
8,677000E+0	3,106975E+1
9,677000E+0	3,107019E+1
1,067700E+1	3,109690E+1
1,167700E+1	3,108183E+1
1,267700E+1	3,107007E+1
1,367700E+1	3,106644E+1
1,467700E+1	3,106499E+1
1,567700E+1	3,109012E+1
1,667700E+1	3,109727E+1
1,767700E+1	3,109089E+1
1,867700E+1	3,109926E+1
1,967700E+1	3,112026E+1
2,067700E+1	3,110228E+1
2,167700E+1	3,108468E+1
2,267700E+1	3,107810E+1
2,367700E+1	3,104544E+1
2,467700E+1	3,108078E+1
2,567700E+1	3,107122E+1
2,667700E+1	3,104762E+1
2,767700E+1	3,107905E+1
2,867700E+1	3,108836E+1
2,967700E+1	3,107992E+1
3,067700E+1	3,104138E+1
3,167700E+1	3,106881E+1
3,267700E+1	3,105952E+1
3,367700E+1	3,105548E+1
3,467700E+1	3,107752E+1
3,567700E+1	3,109497E+1
3,667700E+1	3,104256E+1
3,767700E+1	3,104281E+1
3,867700E+1	3,105916E+1
3,967700E+1	3,104078E+1
4,067700E+1	3,108106E+1
4,167700E+1	3,108958E+1
4,267700E+1	3,106094E+1
4,367700E+1	3,105065E+1
4,467700E+1	3,100807E+1
4,567700E+1	3,104522E+1
4,667700E+1	3,106266E+1
4,767700E+1	3,105486E+1
4,867700E+1	3,104289E+1
4,967700E+1	3,101912E+1
5,067700E+1	3,103697E+1
5,167700E+1	3,109486E+1
5,267700E+1	3,109004E+1
5,367700E+1	3,110657E+1
5,467700E+1	3,109946E+1
5,567700E+1	3,109759E+1
5,667700E+1	3,106620E+1
5,767700E+1	3,105471E+1
5,867700E+1	3,105456E+1
5,967700E+1	3,103210E+1
6,067700E+1	3,103975E+1
6,167700E+1	3,101606E+1
6,267700E+1	3,102221E+1
6,367700E+1	3,105057E+1
6,467700E+1	3,103074E+1
6,567700E+1	3,102132E+1
6,667700E+1	3,102259E+1
6,767700E+1	3,100956E+1
6,867700E+1	3,099766E+1
6,967700E+1	3,096378E+1
7,067700E+1	3,102469E+1
7,167700E+1	3,105347E+1
7,267700E+1	3,101986E+1
7,367700E+1	3,102592E+1
7,467700E+1	3,103534E+1
7,567700E+1	3,103246E+1
7,667700E+1	3,105772E+1
7,767700E+1	3,105780E+1
7,867700E+1	3,105032E+1
7,967700E+1	3,102570E+1
8,067700E+1	3,102481E+1
8,167700E+1	3,103656E+1
8,267700E+1	3,099029E+1
8,367700E+1	3,096254E+1
8,467700E+1	3,101772E+1
8,567700E+1	3,100977E+1
8,667700E+1	3,100919E+1
8,767700E+1	3,102532E+1
8,867700E+1	3,103074E+1
8,967700E+1	3,103669E+1
9,067700E+1	3,103252E+1
9,167700E+1	3,102854E+1
9,267700E+1	3,102816E+1
9,367700E+1	3,100354E+1
9,467700E+1	3,103497E+1
9,567700E+1	3,100348E+1
9,667700E+1	3,100045E+1
9,767700E+1	3,097788E+1
9,867700E+1	3,096286E+1
9,967700E+1	3,096555E+1
1,006770E+2	3,097049E+1
1,016770E+2	3,097365E+1
1,026770E+2	3,096565E+1
1,036770E+2	3,096434E+1
1,046770E+2	3,097247E+1
1,056770E+2	3,099632E+1
1,066770E+2	3,099479E+1
1,076770E+2	3,104880E+1
1,086770E+2	3,104988E+1
1,096770E+2	3,103544E+1
1,106770E+2	3,098803E+1
1,116770E+2	3,098578E+1
1,126770E+2	3,101081E+1
1,136770E+2	3,103062E+1
1,146770E+2	3,099930E+1
1,156770E+2	3,098886E+1
1,166770E+2	3,099662E+1
1,176770E+2	3,097746E+1
1,186770E+2	3,097513E+1
1,196770E+2	3,095816E+1
1,206770E+2	3,095940E+1
1,216770E+2	3,098670E+1
1,226770E+2	3,097893E+1
1,236770E+2	3,098435E+1
1,246770E+2	3,096209E+1
1,256770E+2	3,094442E+1
1,266770E+2	3,096038E+1
1,276770E+2	3,098347E+1
1,286770E+2	3,098485E+1
1,296770E+2	3,099401E+1
1,306770E+2	3,098870E+1
1,316770E+2	3,099724E+1
1,326770E+2	3,100370E+1
1,336770E+2	3,101558E+1
1,346770E+2	3,098392E+1
1,356770E+2	3,096752E+1
1,366770E+2	3,099284E+1
1,376770E+2	3,097498E+1
1,386770E+2	3,099024E+1
1,396770E+2	3,098063E+1
1,406770E+2	3,097868E+1
1,416770E+2	3,101512E+1
1,426770E+2	3,100744E+1
1,436770E+2	3,101563E+1
1,446770E+2	3,100180E+1
1,456770E+2	3,104445E+1
1,466770E+2	3,102435E+1
1,476770E+2	3,105916E+1
1,486770E+2	3,106016E+1
1,496770E+2	3,106277E+1
1,506770E+2	3,100530E+1
1,516770E+2	3,095479E+1
1,526770E+2	3,095788E+1
1,536770E+2	3,082724E+1
1,546770E+2	2,984116E+1
1,556770E+2	5,550363E+1
1,566770E+2	6,156116E+1
1,576770E+2	6,288551E+1
1,586770E+2	6,289848E+1
1,596770E+2	6,288419E+1
1,606770E+2	6,285128E+1
1,616770E+2	6,282496E+1
1,626770E+2	6,281272E+1
1,636770E+2	6,276762E+1
1,646770E+2	6,276258E+1
1,656770E+2	6,278415E+1
1,666770E+2	6,277764E+1
1,676770E+2	6,276851E+1
1,686770E+2	6,273659E+1
1,696770E+2	6,275847E+1
1,706770E+2	6,271065E+1
1,716770E+2	6,268301E+1
1,726770E+2	6,270853E+1
1,736770E+2	6,269683E+1
1,746770E+2	6,269740E+1
1,756770E+2	6,267449E+1
1,766770E+2	6,268034E+1
1,776770E+2	6,267375E+1
1,786770E+2	6,256774E+1
1,796770E+2	6,251397E+1
1,806770E+2	6,251167E+1
1,816770E+2	6,250966E+1
1,826770E+2	6,254313E+1
1,836770E+2	6,250348E+1
1,846770E+2	6,246001E+1
1,856770E+2	6,245378E+1
1,866770E+2	6,243399E+1
1,876770E+2	6,246990E+1
1,886770E+2	6,248104E+1
1,896770E+2	6,250136E+1
1,906770E+2	6,247227E+1
1,916770E+2	6,243488E+1
1,926770E+2	6,242422E+1
1,936770E+2	6,240455E+1
1,946770E+2	6,236993E+1
1,956770E+2	6,238061E+1
1,966770E+2	6,238080E+1
1,976770E+2	6,239127E+1
1,986770E+2	6,236552E+1
1,996770E+2	6,234233E+1
2,006770E+2	6,238149E+1
2,016770E+2	6,236486E+1
2,026770E+2	6,231906E+1
2,036770E+2	6,224510E+1
2,046770E+2	6,223675E+1
2,056770E+2	6,224579E+1
2,066770E+2	6,223573E+1
2,076770E+2	6,224356E+1
2,086770E+2	6,224169E+1
2,096770E+2	6,222447E+1
2,106770E+2	6,218373E+1
2,116770E+2	5,911297E+1
2,126770E+2	4,851538E+1
2,136770E+2	4,247999E+1
2,146770E+2	3,810725E+1
2,156770E+2	3,422529E+1
2,166770E+2	3,195330E+1
2,176770E+2	3,177211E+1
2,186770E+2	3,162383E+1
2,196770E+2	3,155013E+1
2,206770E+2	3,147828E+1
2,216770E+2	3,141535E+1
2,226770E+2	3,136610E+1
2,236770E+2	3,133016E+1
2,246770E+2	3,128091E+1
2,256770E+2	3,123334E+1
2,266770E+2	3,122249E+1
2,276770E+2	3,123335E+1
2,286770E+2	3,123601E+1
2,296770E+2	3,119747E+1
2,306770E+2	3,121795E+1
2,316770E+2	3,118018E+1
2,326770E+2	3,115606E+1
2,336770E+2	3,113431E+1
2,346770E+2	3,113178E+1
2,356770E+2	3,111936E+1
2,366770E+2	3,109514E+1
2,376770E+2	3,108110E+1
2,386770E+2	3,107956E+1
2,396770E+2	3,108790E+1
2,406770E+2	3,106542E+1
2,416770E+2	3,105376E+1
2,426770E+2	3,104313E+1
2,436770E+2	3,103419E+1
2,446770E+2	3,100833E+1
2,456770E+2	3,094797E+1
2,466770E+2	3,091030E+1
2,476770E+2	3,092773E+1
2,486770E+2	3,089975E+1
2,496770E+2	3,088787E+1
2,506770E+2	3,091865E+1
2,516770E+2	3,088059E+1
2,526770E+2	3,088856E+1
2,536770E+2	3,086102E+1
2,546770E+2	3,088033E+1
2,556770E+2	3,088437E+1
2,566770E+2	3,088116E+1
2,576770E+2	3,090855E+1
2,586770E+2	3,086815E+1
2,596770E+2	3,088430E+1
2,606770E+2	3,086622E+1
2,616770E+2	3,086539E+1
2,626770E+2	3,088251E+1
2,636770E+2	3,088251E+1
2,646770E+2	3,085894E+1
2,656770E+2	3,088730E+1
2,666770E+2	3,087987E+1
2,676770E+2	3,087471E+1
2,686770E+2	3,084062E+1
2,696770E+2	3,086147E+1
2,706770E+2	3,088499E+1
2,716770E+2	3,086747E+1
2,726770E+2	3,084244E+1
2,736770E+2	3,083788E+1
2,746770E+2	3,089429E+1
2,756770E+2	3,086802E+1
2,766770E+2	3,089811E+1
2,776770E+2	3,095062E+1
2,786770E+2	3,061011E+1
2,796770E+2	2,808908E+1
2,806770E+2	4,094962E+1
2,816770E+2	5,801412E+1
2,826770E+2	6,095178E+1
2,836770E+2	6,106026E+1
2,846770E+2	6,106297E+1
2,856770E+2	6,104936E+1
2,866770E+2	6,101505E+1
2,876770E+2	6,095709E+1
2,886770E+2	6,095440E+1
2,896770E+2	6,092201E+1
2,906770E+2	6,089897E+1
2,916770E+2	6,090765E+1
2,926770E+2	6,089302E+1
2,936770E+2	6,092091E+1
2,946770E+2	6,089586E+1
2,956770E+2	6,088372E+1
2,966770E+2	6,088888E+1
2,976770E+2	6,087953E+1
2,986770E+2	6,086219E+1
2,996770E+2	6,083915E+1
3,006770E+2	6,079700E+1
3,016770E+2	6,078106E+1
3,026770E+2	6,075543E+1
3,036770E+2	6,077714E+1
