Zeit / s	Anzahl Impulse
1,510000E+0	2,700000E+1
3,012000E+0	3,000000E+1
4,515000E+0	2,400000E+1
6,017000E+0	2,000000E+1
7,519000E+0	3,300000E+1
9,021000E+0	2,400000E+1
1,052300E+1	2,600000E+1
1,202500E+1	3,200000E+1
1,352700E+1	3,300000E+1
1,502900E+1	2,600000E+1
1,653100E+1	2,400000E+1
1,803300E+1	2,800000E+1
1,953500E+1	2,000000E+1
2,103700E+1	2,500000E+1
2,253900E+1	3,200000E+1
2,404100E+1	2,000000E+1
2,554300E+1	3,000000E+1
2,704500E+1	2,200000E+1
2,854600E+1	3,100000E+1
3,004900E+1	2,900000E+1
3,155100E+1	3,300000E+1
3,305400E+1	2,100000E+1
3,455700E+1	2,900000E+1
3,606000E+1	2,400000E+1
3,756300E+1	2,900000E+1
3,906600E+1	2,300000E+1
4,056900E+1	3,400000E+1
4,207200E+1	2,600000E+1
4,357500E+1	3,100000E+1
4,507800E+1	3,100000E+1
4,658000E+1	3,300000E+1
4,808300E+1	2,700000E+1
4,958600E+1	2,700000E+1
5,108700E+1	2,300000E+1
5,258900E+1	2,800000E+1
5,409200E+1	2,800000E+1
5,559400E+1	2,500000E+1
5,709700E+1	1,800000E+1
5,860000E+1	2,900000E+1
6,010300E+1	2,500000E+1
6,160600E+1	3,500000E+1
6,310900E+1	3,000000E+1
6,461200E+1	2,200000E+1
6,611500E+1	2,300000E+1
6,761800E+1	2,800000E+1
6,912100E+1	2,400000E+1
7,062400E+1	3,100000E+1
7,212700E+1	3,600000E+1
7,362900E+1	1,900000E+1
7,513200E+1	3,100000E+1
7,663500E+1	2,600000E+1
7,813800E+1	1,900000E+1
7,964100E+1	2,500000E+1
8,114400E+1	3,300000E+1
8,264700E+1	2,500000E+1
8,415000E+1	2,800000E+1
8,565300E+1	1,700000E+1
8,715700E+1	3,400000E+1
8,866100E+1	2,600000E+1
9,016500E+1	3,300000E+1
9,166900E+1	2,000000E+1
9,317200E+1	2,300000E+1
9,467600E+1	3,600000E+1
9,618000E+1	2,100000E+1
9,768400E+1	2,800000E+1
9,918800E+1	2,700000E+1
1,006920E+2	2,500000E+1
1,021960E+2	3,000000E+1
1,037000E+2	2,600000E+1
1,052040E+2	2,200000E+1
1,067080E+2	3,000000E+1
1,082120E+2	2,000000E+1
1,097150E+2	3,000000E+1
1,112190E+2	2,700000E+1
1,127230E+2	2,300000E+1
1,142270E+2	2,200000E+1
1,157310E+2	3,300000E+1
1,172350E+2	2,500000E+1
1,187390E+2	2,200000E+1
1,202430E+2	3,500000E+1
1,217470E+2	2,100000E+1
1,232510E+2	2,100000E+1
1,247540E+2	3,100000E+1
1,262580E+2	2,600000E+1
1,277620E+2	2,300000E+1
1,292660E+2	2,100000E+1
1,307700E+2	2,300000E+1
1,322740E+2	2,200000E+1
1,337950E+2	2,800000E+1
1,353000E+2	2,400000E+1
1,368050E+2	1,800000E+1
1,383090E+2	3,900000E+1
1,398130E+2	2,800000E+1
1,413170E+2	2,200000E+1
1,428210E+2	1,900000E+1
1,443250E+2	2,400000E+1
1,458290E+2	2,000000E+1
1,473340E+2	2,400000E+1
1,488370E+2	2,300000E+1
1,503410E+2	1,900000E+1
1,518460E+2	2,600000E+1
1,533510E+2	2,600000E+1
1,548550E+2	3,100000E+1
1,563600E+2	3,400000E+1
1,578650E+2	2,900000E+1
1,593700E+2	2,200000E+1
1,608750E+2	2,600000E+1
1,623790E+2	3,000000E+1
1,638840E+2	2,400000E+1
1,653890E+2	2,800000E+1
1,668940E+2	2,000000E+1
1,683990E+2	2,400000E+1
1,699040E+2	2,400000E+1
1,714090E+2	3,100000E+1
1,729140E+2	2,600000E+1
1,744190E+2	1,800000E+1
1,759230E+2	3,100000E+1
1,774280E+2	2,800000E+1
1,789330E+2	2,600000E+1
1,804380E+2	3,500000E+1
1,819430E+2	2,500000E+1
1,834480E+2	2,500000E+1
1,849530E+2	2,400000E+1
1,864580E+2	3,400000E+1
1,879620E+2	3,400000E+1
1,894660E+2	3,200000E+1
1,909710E+2	2,700000E+1
1,924760E+2	2,600000E+1
1,939810E+2	1,700000E+1
1,954860E+2	2,800000E+1
1,969910E+2	2,600000E+1
1,984960E+2	3,300000E+1
2,000020E+2	2,700000E+1
2,015060E+2	2,800000E+1
2,030120E+2	2,600000E+1
2,045180E+2	2,400000E+1
2,060240E+2	2,600000E+1
2,075290E+2	2,400000E+1
2,090340E+2	2,700000E+1
2,105400E+2	3,600000E+1
2,120450E+2	3,200000E+1
2,135500E+2	2,300000E+1
2,150560E+2	2,300000E+1
2,165610E+2	2,500000E+1
2,180670E+2	2,900000E+1
2,195730E+2	3,300000E+1
2,210790E+2	2,300000E+1
2,225850E+2	2,300000E+1
2,240900E+2	2,700000E+1
2,255960E+2	2,100000E+1
2,271020E+2	2,600000E+1
2,286080E+2	2,400000E+1
2,301140E+2	2,900000E+1
2,316200E+2	3,400000E+1
2,331260E+2	2,500000E+1
2,346310E+2	2,500000E+1
2,361370E+2	4,300000E+1
2,376430E+2	3,200000E+1
2,391490E+2	2,000000E+1
2,406550E+2	2,400000E+1
2,421610E+2	1,700000E+1
2,436670E+2	2,900000E+1
2,451720E+2	3,500000E+1
2,466780E+2	1,800000E+1
2,481840E+2	2,400000E+1
2,496900E+2	2,800000E+1
2,511960E+2	2,400000E+1
