U in V,I in A,SU in V,SI in A
0,0,0.001,0.001
0.051,0.044,0.001255,0.00166
0.105,0.084,0.001525,0.00226
0.148,0.108,0.00174,0.00262
0.2,0.128,0.002,0.00292
0.251,0.139,0.002255,0.003085
0.303,0.146,0.002515,0.00319
0.349,0.149,0.002745,0.003235
0.402,0.152,0.00301,0.00328
0.504,0.156,0.00352,0.00334
0.598,0.161,0.00399,0.003415
0.705,0.168,0.004525,0.00352
0.803,0.174,0.005015,0.00361
0.898,0.18,0.00549,0.0037
1.001,0.188,0.006005,0.00382
1.197,0.201,0.006985,0.004015
1.408,0.216,0.00804,0.00424
1.613,0.229,0.009065,0.004435
1.802,0.241,0.01001,0.004615
1.998,0.252,0.01099,0.00478
