f in Hz*10**3,*2 * Ua0 in div,*divstk. In V,Ua0 in V,Sua0 in V,*2 * Uc0 in div,*disvstk. In V,Uc0 in V,SUc0 in V,*dt in div,*divsk. In us,dt in us,Sdt in us,*v
150.00,5.40,1.00,2.70,0.07,3.40,10.00,17.00,0.58,3.30,0.50,1.65,0.04,6.30
151.00,5.40,1.00,2.70,0.07,3.40,10.00,17.00,0.58,3.50,0.50,1.75,0.04,6.30
152.00,5.50,1.00,2.75,0.07,3.40,10.00,17.00,0.58,3.60,0.50,1.80,0.04,6.18
155.00,5.60,1.00,2.80,0.07,3.20,10.00,16.00,0.57,4.00,0.50,2.00,0.04,5.71
160.00,6.00,1.00,3.00,0.07,2.70,10.00,13.50,0.55,4.40,0.50,2.20,0.05,4.50
170.00,6.60,1.00,3.30,0.08,4.00,5.00,10.00,0.30,4.80,0.50,2.40,0.05,3.03
180.00,6.90,1.00,3.45,0.08,2.90,5.00,7.25,0.28,4.70,0.50,2.35,0.05,2.10
250.00,3.60,2.00,3.60,0.12,4.10,1.00,2.05,0.06,3.80,0.50,1.90,0.04,0.57
149.00,5.40,1.00,2.70,0.07,3.50,10.00,17.50,0.58,3.20,0.50,1.60,0.04,6.48
148.00,5.40,1.00,2.70,0.07,7.10,5.00,17.75,0.40,3.00,0.50,1.50,0.04,6.57
147.00,5.40,1.00,2.70,0.07,7.10,5.00,17.75,0.40,2.80,0.50,1.40,0.03,6.57
145.00,5.60,1.00,2.80,0.07,7.00,5.00,17.50,0.39,2.50,0.50,1.25,0.03,6.25
140.00,6.00,1.00,3.00,0.07,6.40,5.00,16.00,0.37,4.80,0.20,0.96,0.02,5.33
130.00,6.70,1.00,3.35,0.08,4.80,5.00,12.00,0.33,5.60,0.10,0.56,0.01,3.58
100.00,3.60,2.00,3.60,0.12,6.40,2.00,6.40,0.15,2.40,0.10,0.24,0.01,1.78
50.00,3.60,2.00,3.60,0.12,4.10,2.00,4.10,0.12,1.50,0.10,0.15,0.01,1.14
10.00,3.70,2.00,3.70,0.12,3.70,2.00,3.70,0.12,0.00,0.10,0.00,0.01,1.00
300.00,3.60,2.00,3.60,0.12,4.90,0.50,1.23,0.03,8.50,0.20,1.70,0.03,0.34
