R in ohm,Ieff1 in A,Ueff1 in V,Ieff2 in A,Ueff2 in V,P in W,SR in ohm,SIeff1 in A,SUeff1 in V,SIeff2 in A,SUeff2 in V,SP in W
0.000,0.297,12.400,0.428,9.900,0.720,0.000,0.002,0.051,0.009,0.082,0.014
2.000,0.292,12.350,0.420,9.800,1.060,,0.002,0.050,0.009,0.081,0.015
6.000,0.281,12.350,0.399,9.600,1.610,,0.002,0.050,0.008,0.080,0.018
9.000,0.268,12.310,0.378,9.470,1.890,,0.002,0.050,0.008,0.079,0.019
11.000,0.260,12.310,0.363,9.390,2.030,,0.002,0.050,0.008,0.078,0.020
14.000,0.246,12.310,0.339,9.290,2.160,,0.002,0.050,0.007,0.077,0.021
16.000,0.236,12.300,0.323,9.230,2.200,,0.002,0.050,0.007,0.077,0.021
19.000,0.223,12.300,0.301,9.170,2.220,,0.002,0.050,0.006,0.076,0.021
22.000,0.217,12.310,0.281,9.130,2.220,,0.002,0.050,0.006,0.076,0.021
25.000,0.198,12.310,0.262,9.090,2.170,,0.002,0.050,0.006,0.076,0.021
29.000,0.184,12.300,0.240,9.050,2.090,,0.002,0.050,0.005,0.075,0.020
33.000,0.171,12.290,0.220,9.030,2.010,,0.002,0.050,0.005,0.075,0.020
38.000,0.158,12.320,0.199,9.030,1.900,,0.002,0.050,0.005,0.075,0.020
44.000,0.145,12.310,0.179,9.030,1.744,,0.001,0.050,0.004,0.075,0.010
50.000,0.134,12.340,0.162,9.050,1.635,,0.001,0.050,0.004,0.075,0.009
60.000,0.119,12.360,0.139,9.070,1.460,,0.001,0.050,0.004,0.076,0.008
73.000,0.105,12.370,0.117,9.090,1.294,,0.001,0.050,0.003,0.076,0.007
86.000,0.094,12.380,0.101,9.110,1.161,,0.000,0.051,0.003,0.076,0.007
109.000,0.081,12.400,0.081,9.150,0.990,,0.000,0.051,0.002,0.076,0.006
149.000,0.068,12.420,0.060,9.180,0.804,,0.000,0.051,0.002,0.076,0.005
233.000,0.055,12.420,0.039,9.220,0.608,,0.000,0.051,0.002,0.077,0.004
443.000,0.045,12.410,0.020,9.250,0.436,,0.000,0.051,0.001,0.077,0.003
1403.000,0.038,12.410,0.005,9.270,0.304,,0.000,0.051,0.001,0.077,0.003
3003.000,0.036,12.410,0.001,9.280,0.271,,0.000,0.051,0.001,0.077,0.002
