*f in kHz,f in Hz,Sf in Hz,*Ue in div,*divsk in mV,Ue in mV,SUe in mV,*Ua in div,*divsk in V,Ua in V,SUa in V
20.480,20480.000,409.600,4.900,20.000,98.000,4.345,4.400,0.200,0.880,0.043
50.280,50280.000,1005.600,4.900,20.000,98.000,4.345,4.400,0.200,0.880,0.043
99.890,99890.000,1997.800,4.900,20.000,98.000,4.345,4.300,0.200,0.860,0.043
200.440,200440.000,4008.800,4.900,20.000,98.000,4.345,3.900,0.200,0.780,0.042
,20.330,0.407,4.500,20.000,90.000,4.293,4.400,2.000,8.800,0.428
,51.000,1.020,4.800,20.000,96.000,4.332,4.300,2.000,8.600,0.427
,100.000,2.000,4.800,20.000,96.000,4.332,3.600,2.000,7.200,0.419
,203.000,4.060,4.800,20.000,96.000,4.332,2.400,2.000,4.800,0.409
,513.000,10.260,4.800,20.000,96.000,4.332,4.800,0.500,2.400,0.108
,1036.000,20.720,4.900,20.000,98.000,4.345,2.900,0.500,1.450,0.103
2.015,2015.000,40.300,4.900,20.000,98.000,4.345,5.300,0.200,1.060,0.044
5.043,5043.000,100.860,4.900,20.000,98.000,4.345,4.500,0.200,0.900,0.043
10.080,10080.000,201.600,4.900,20.000,98.000,4.345,4.500,0.200,0.900,0.043
19.763,19763.000,395.260,4.900,20.000,98.000,4.345,4.500,0.200,0.900,0.043
