f in Hz,Sf in Hz,R in ohm,*Ue in div,*div in mV,Ue in mV,sUe in mV,*Ua in div,*div in V,Ua in V,sUa in V
100.00,2.00,47.00,5.60,20.00,112.00,5.22,5.60,0.20,1.12,0.05
1001.00,20.02,47.00,5.60,20.00,112.00,5.22,5.60,0.20,1.12,0.05
10060.00,201.20,47.00,5.70,20.00,114.00,5.26,5.70,0.20,1.14,0.05
100580.00,2011.60,47.00,5.70,20.00,114.00,5.26,5.60,0.20,1.12,0.05
20620.00,412.40,47.00,5.70,20.00,114.00,5.26,5.60,0.20,1.12,0.05
50160.00,1003.20,47.00,5.70,20.00,114.00,5.26,5.60,0.20,1.12,0.05
50160.00,1003.20,470.00,5.30,20.00,106.00,5.11,3.50,2.00,7.00,0.45
99.00,1.98,470.00,5.10,20.00,102.00,5.04,5.10,2.00,10.20,0.50
995.00,19.90,470.00,5.20,20.00,104.00,5.07,5.10,2.00,10.20,0.50
9941.00,198.82,470.00,5.30,20.00,106.00,5.11,5.10,2.00,10.20,0.50
10027.00,200.54,470.00,5.30,20.00,106.00,5.11,2.20,2.00,4.40,0.42
1958.00,39.16,470.00,5.30,20.00,106.00,5.11,4.80,2.00,9.60,0.49
4999.00,99.98,470.00,5.30,20.00,106.00,5.11,3.50,2.00,7.00,0.45
